,text,labels
9690,"Notably , increased endogenous DNA damage was observed in NEIL2 variant ( R257L)-expressing cells relative to WT cells .
",
9691,"Taken together , our results suggest that the decreased DNA repair capacity of the R257L variant can induce mutations that lead to lung cancer development .
",
9692,"PURPOSE The ability to accurately predict the likelihood of expansion of the CGG repeats in the FMR1 gene to a full mutation is of critical importance for genetic counseling of women who are carriers of premutation alleles ( 55-200 CGG repeats ) and who are weighing the risk of having a child with fragile X syndrome .
",
9693,"The presence of AGG interruptions within the CGG repeat tract is thought to decrease the likelihood of expansion to a full mutation during transmission , thereby reducing risk , although their contribution has not been quantified .
",
9694,"METHODS We retrospectively analyzed 267 premutation alleles for number and position of AGG interruptions , length of pure CGG repeats , and CGG repeat lengths present in the offspring of the maternal transmissions .
",
9695,"In addition , we determined the haplotypes of four markers flanking the 5'-UTR locus in the premutation mothers .
",
9696,"RESULTS We found that the presence of AGG interruptions significantly increased genetic stability , whereas specific haplotypes had a marginal association with transmission instability .
",
9697,"CONCLUSION The presence of AGG interruptions reduced the risk of transmission of a full mutation for all maternal ( premutation ) repeat lengths below CGG repeats , with a differential risk ( 0 vs. 2 AGG ) exceeding 60% for alleles in the 70- to 80-CGG repeat range .
",
9698,"Estrogens , acting through estrogen receptor α ( ERα ) , stimulate breast cancer proliferation , making ERα an attractive drug target .
",
9699,"Since 384-well format screens for inhibitors of proliferation can be challenging for some cells , inhibition of luciferase-based reporters is often used as a surrogate end point .
",
9700,"To identify novel small-molecule inhibitors of 17β-estradiol ( E(2))-ERα-stimulated cell proliferation , we established a cell-based screen for inhibitors of E(2)-ERα induction of an estrogen response element ( ERE)(3)-luciferase reporter .
",
9701,"Seventy-five "" hits "" were evaluated in tiered follow-up assays to identify where hits failed to progress and evaluate their effectiveness as inhibitors of E(2)-ERα-induced proliferation of breast cancer cells .
",
9702,"Only 8 of 75 hits from the luciferase screen inhibited estrogen-induced proliferation of ERα-positive MCF-7 and T47D cells but not control ERα-negative MDA-MB-231 cells .
",
9703,"Although 12% of compounds inhibited E(2)-ERα-stimulated proliferation in only one of the ERα-positive cell lines , 40% of compounds were toxic and inhibited growth of all the cell lines , and exhibited little or no ability to inhibit E(2)-ERα-stimulated cell proliferation .
",
9704,"Representative compounds were evaluated in more detail , and a lead ERα inhibitor was identified .
",
9705,"A variety of reduced-intensity conditionings have been used in the reported studies of allogeneic hematopoietic stem cell transplantation ( HSCT ) for elderly patients with myeloid hematological malignancies .
",
9706,"This study retrospectively analyzed the outcome of allogeneic HSCT for 10 patients aged 50 years or older with myeloid hematological malignancies after conditioning with fludarabine ( 125 mg/m(2) ) , melphalan ( 140 mg/m(2) ) and total body irradiation ( TBI ; 8 Gy ) .
",
9707,"Median age of the patients was 56.5 years , and diagnoses included acute myelogenous leukemia , advance myelodysplastic syndrome , and secondary myelofibrosis .
",
9708,"Sources of stem cells were bone marrow from sibling ( n=4 ) or unrelated donor ( n=6 ) .
",
9709,"Both overall and disease-free survival rates were 40.0% ( 95% CI : 10.6 Causes of death were relapse ( n=2 ) , fungal infection ( n=2 ) , and secondary malignancies ( n=2 ) .
",
9710,"Because of a high incidence of transplant-related mortality , further refinement of this conditioning is required .
",
9711,"Adenovirus small e1a oncoprotein causes reduction in cellular levels of histone H3 lysine 18 acetylation ( H3K18ac ) .
",
9712,"It is unclear , however , where this dramatic reduction occurs genome-wide .
",
9713,"ChIP-sequencing revealed that by 24 h after expression , e1a erases 95% of H3K18ac peaks in normal , contact-inhibited fibroblasts and replaces them with one-third as many at new genomic locations .
",
9714,"The H3K18ac peaks at promoters and intergenic regions of genes with fibroblast-related functions are eliminated after infection , and new H3K18ac peaks are established at promoters of highly induced genes that regulate cell cycling and at new putative enhancers .
",
9715,"Strikingly , the regions bound by the retinoblastoma family of proteins in contact-inhibited fibroblasts gain new peaks of H3K18ac in the e1a-expressing cells , including 55% of RB1-bound loci .
",
9716,"In contrast , over half of H3K9ac peaks are similarly distributed before and after infection , independently of RB1 .
",
9717,"The strategic redistribution of H3K18ac by e1a highlights the importance of this modification for transcriptional activation and cellular transformation as well as functional differences between the RB-family member proteins .
",
9718,"Manipulating acetylation status of key gene targets is likely to be crucial for effective cancer therapy .
",
9719,"In this study , we utilized green tea catechins , epicatechin ( EC ) , epigallocatechin ( EGC ) and epigallocatechin-3-gallate ( EGCG ) to examine the regulation of androgen receptor acetylation in androgen-dependent prostate cancer cells by histone acetyl-transferase ( HAT ) activity .
",
9720,"EC , EGC and EGCG induced prostate cancer cell death , suppressed agonist-dependent androgen receptor ( AR ) activation and AR-regulated gene transcription .
","Sustaining proliferative signaling--Receptors,Resisting cell death--"
9721,"These results demonstrated a similar tendency to HAT inhibitory activities ; EGCG>EGC>EC .
",
9722,"The strongest HAT inhibitor among them , EGCG ( 50 �M ) , downregulated AR acetylation and finally , AR protein translocation to nucleus from the cytoplasmic compartment was effectively inhibited in the presence of the agonist .
",Sustaining proliferative signaling--Receptors
9723,"These results suggest another mechanism to develop effective therapeutics based on green tea catechins .
",
9724,"Furan , a potent rodent liver carcinogen , is found in many cooked food items and thus represents a human cancer risk .
",
9725,"Mechanisms for furan carcinogenicity were investigated in male F344 rats using the in vivo Comet and micronucleus assays , combined with analysis of histopathological and gene expression changes .
",
9726,"In addition , formamidopyrimidine DNA glycosylase ( Fpg ) and endonuclease III ( EndoIII)-sensitive DNA damage was monitored as a measure of oxidative DNA damage .
",
9727,"Rats were treated by gavage on four consecutive days with 2 , 4 , and 8mg/kg bw furan , doses that were tumorigenic in 2-year cancer bioassays , and with two higher doses , 12 and 16mg/kg .
",
9728,"Rats were killed 3h after the last dose , a time established as producing maximum levels of DNA damage in livers of furan-treated rats .
",
9729,"Liver Comet assays indicated that both DNA strand breaks and oxidized purines and pyrimidines increased in a near-linear dose-responsive fashion , with statistically significant increases detected at cancer bioassay doses .
",Genomic instability and mutation--DNA damage--Strand breaks
9730,"No DNA damage was detected in bone marrow , a non-target tissue for cancer , and peripheral blood micronucleus assays were negative .
",Genomic instability and mutation--DNA damage--
9731,"Histopathological evaluation of liver from furan-exposed animals produced evidence of inflammation , single-cell necrosis , apoptosis , and cell proliferation .
","Tumor promoting inflammation--Inflammation--,Resisting cell death--Apoptosis,Resisting cell death--Necrosis"
9732,"In addition , genes related to apoptosis , cell-cycle checkpoints , and DNA-repair were expressed at a slightly lower level in the furan-treated livers .
","Genomic instability and mutation--DNA repair mechanisms,Resisting cell death--Apoptosis,Evading growth suppressors--By deregulating cell cycle checkpoints--"
9733,"Although a mixed mode of action involving direct DNA binding cannot be ruled out , the data suggest that furan induces cancer in rat livers mainly through a secondary genotoxic mechanism involving oxidative stress , accompanied by inflammation , cell proliferation , and toxicity .
",Tumor promoting inflammation--Inflammation--Oxidative stress
9734,"Many cancer cells metabolize glucose preferentially via pyruvate to lactate instead to CO(2) and H(2)O ( oxidative phosphorylation ) even in the presence of oxygen ( Warburg effect ) .
",
9735,"Dichloroacetate ( DCA ) is a drug which is able to shift pyruvate metabolism from lactate to acetyl-CoA ( tricarboxylic acid cycle ) by indirect activation of pyruvate dehydrogenase ( PDH ) .
",
9736,"This can subsequently lead to an increased flow of oxygen in the respiratory chain , associated with enhanced generation of reactive oxygen species ( ROS ) which may cause apoptosis .
",
9737,"In order to investigate if DCA may be suitable for neuroblastoma therapy , it was investigated on three human neuroblastoma cell lines whether DCA can reduce lactate production and enhance oxygen consumption .
",
9738,"The data show , that DCA ( in the low millimolar range ) is able to reduce lactate production , but there was only a slight shift to increased oxygen consumption and almost no effect on cell vitality , proliferation and apoptosis of the three cell lines investigated .
","Cellular energetics--,Resisting cell death--Apoptosis"
9739,"Therefore , DCA at low millimolar concentrations seems to be only of minor efficacy for neuroblastoma treatment .
",
9740,"BACKGROUND Brain-metastatic breast cancer ( BMBC ) is increasing and poses a severe clinical problem because of the lack of effective treatments and because the underlying molecular mechanisms are largely unknown .
",
9741,"Recent work has demonstrated that deregulation of epidermal growth factor receptor ( EGFR ) may correlate with BMBC progression .
",
9742,"However , the exact contribution that EGFR makes to BMBC remains unclear .
",
9743,"METHODS The role of EGFR in BMBC was explored by serial analyses in a brain-trophic clone of human MDA-MB-231 breast carcinoma cells ( 231-BR cells ) .
",
9744,"EGFR expression was inhibited by stable short-hairpin RNA transfection or by the kinase inhibitor erlotinib , and it was activated by heparin-binding epidermal growth factor-like growth factor ( HB-EGF ) .
",
9745,"Cell growth and invasion activities also were analyzed in vitro and in vivo .
",
9746,"RESULTS EGFR inhibition or activation strongly affected 231-BR cell migration/invasion activities as assessed by an adhesion assay , a wound-healing assay , a Boyden chamber invasion assay , and cytoskeleton staining .
","Activating invasion and metastasis--Invasion,Sustaining proliferative signaling--Receptors"
9747,"Also , EGFR inhibition significantly decreased brain metastases of 231-BR cells in vivo .
","Sustaining proliferative signaling--Receptors,Activating invasion and metastasis--Metastasis"
9748,"Surprisingly , changes to EGFR expression affected cell proliferation activities less significantly as determined by a 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide ( MTT ) assay , an anchorage-independent growth assay , and cell cycle analysis .
","Sustaining proliferative signaling--Receptors,Sustaining proliferative signaling--Cell cycle"
9749,"Immunoblot analysis suggested that EGFR drives cells ' invasiveness capability mainly through phosphoinositide 3-kinase/protein kinase B and phospholipase C γ downstream pathways .
",Activating invasion and metastasis--Invasion
9750,"In addition , EGFR was involved less in proliferation because of the insensitivity of the downstream mitogen-activated protein kinase pathway .
",Sustaining proliferative signaling--Growth factors growth promoting signals--Downstream signaling
9751,"CONCLUSIONS The current results indicated that EGFR plays more important roles in cell migration and invasion to the brain than in cell proliferation progression on 231-BR cells , providing new evidence of the potential value of EGFR inhibition in treating BMBC .
","Activating invasion and metastasis--Invasion,Sustaining proliferative signaling--"
9752,"The Salmonella type III secretion system ( T3SS ) efficiently translocates heterologous proteins into the cytosol of eukaryotic cells .
",
9753,"This leads to an antigen-specific CD8 T-cell induction in mice orally immunized with recombinant Salmonella .
",
9754,"Recently , we have used Salmonella's T3SS as a prophylactic and therapeutic intervention against a murine fibrosarcoma .
",
9755,"In this study , we constructed a recombinant Salmonella strain translocating the immunogenic H-2D(b)-specific CD8 T-cell epitope VILTNPISM ( KDR2 ) from the murine vascular endothelial growth factor receptor 2 ( VEGFR2 ) .
",
9756,"VEGFR2 is a member of the tyrosine protein kinase family and is upregulated on proliferating endothelial cells of the tumor vasculature .
",
9757,"After single orogastric vaccination , we detected significant numbers of KDR2-tetramer-positive CD8 T cells in the spleens of immunized mice .
",
9758,"The efficacy of these cytotoxic T cells was evaluated in a prophylactic setting to protect mice from challenges with B16F10 melanoma cells in a flank tumor model , and to reduce dissemination of spontaneous pulmonary melanoma metastases .
",
9759,"Vaccinated mice revealed a reduction of angiogenesis by 62% in the solid tumor and consequently a significant decrease of tumor growth as compared to non-immunized mice .
",Inducing angiogenesis--By deregulating angiogenesis
9760,"Moreover , in the lung metastasis model , immunization with recombinant Salmonella resulted in a reduction of the metastatic melanoma burden by approximately 60% .
",Activating invasion and metastasis--Metastasis
9761,"Fus1 , encoded by a 3p21.3 tumour suppressor gene , is down-regulated , mutated or lost in the majority of inflammatory thoracic malignancies .
",
9762,"The mitochondrial localization of Fus1 stimulated us to investigate how Fus1 modulates inflammatory response and mitochondrial function in a mouse model of asbestos-induced peritoneal inflammation .
",
9763,"Asbestos treatment resulted in a decreased Fus1 expression in wild-type ( WT ) peritoneal immune cells , suggesting that asbestos exposure may compromise the Fus1-mediated inflammatory response .
",
9764,"Untreated Fus1(-/-) mice had an higher proportion of peritoneal granulocytes than Fus1(+/+) mice , pointing at ongoing chronic inflammation .
",
9765,"Fus1(-/-) mice exhibited a perturbed inflammatory response to asbestos , reflected in decreased immune organ weight and peritoneal fluid protein concentration , along with an increased proportion of peritoneal macrophages .
",
9766,"Fus1(-/-) immune cells showed augmented asbestos-induced activation of key inflammatory , anti-oxidant and genotoxic stress response proteins ERK1/2 , NFκB , SOD2 , γH2AX , etc .
",
9767,"Moreover , Fus1(-/-) mice demonstrated altered dynamics of pro- and anti-inflammatory cytokine expression , such as IFNγ , TNFα , IL-1A , IL-1B and IL-10 .
",
9768,"' Late ' response cytokine Ccl5 was persistently under-expressed in Fus1(-/-) immune cells at both basal and asbestos-activated states .
",
9769,"We observed an asbestos-related difference in the size of CD3(+) CD4(-) CD8(-) DN T cell subset that was expanded four-fold in Fus1(-/-) mice .
",
9770,"Finally , we demonstrated Fus1-dependent basal and asbestos-induced changes in major mitochondrial parameters ( ROS production , mitochondrial potential and UCP2 expression ) in Fus1(-/-) immune cells and in Fus1-depleted cancer cells , thus supporting our hypothesis that Fus1 establishes its immune- and tumour-suppressive activities via regulation of mitochondrial homeostasis .
",
9771,"BACKGROUND Colorectal cancer is one of the leading causes of cancer-related death throughout the world , and the risk to develop this malignant disease seems to be associated with long-term cigarette smoking .
",
9772,"Nicotine , one of the major components of cigarette smoking , can stimulate cell proliferation and suppress apoptosis both in normal cells and in several human cancer cell lines derived from various organs .
",
9773,"However , although nicotine appears to have a role in stimulating cell proliferation of colon cancer cells , there is no information on its role in inhibiting apoptosis in these cells .
",
9774,"MATERIALS AND METHODS Human colorectal cancer cell lines Caco-2 and HCT-8 were treated with 1 μM nicotine alone or in combination with 1 μM α-BTX in complete or in serum free medium .
",
9775,"Cell proliferation and apoptosis were determined by cell count performed with a cell counter and by cytofluorimetric assay respectively .
",
9776,"PI3K/Akt and PKC/ERK1/2 pathways , survivin , and P-Bcl2 ( Ser70 ) were investigated by Western blot analysis .
",
9777,"RESULTS Nicotine induced an increase in cell proliferation and a decrease of apoptosis in Caco-2 and HCT-8 cells .
","Sustaining proliferative signaling--,Resisting cell death--Apoptosis"
9778,"Both cell growth and apoptosis appear to be mediated by α7-nicotinic acetylcholine receptors , since treatment with α-Bungarotoxin inhibited these processes .
",
9779,"Nicotine induced a statistically significant increase in the expression of PI3K and in P-Akt/Akt ratio as well as in the expression of PKC , ERK1/2 , survivin , and P-Bcl2 ( Ser70 ) in both cell lines .
",Sustaining proliferative signaling--Growth factors growth promoting signals--Downstream signaling
9780,"CONCLUSIONS Nicotine , contained in cigarette smoking , could participate in colon cancer development and progression by stimulating cell proliferation and suppressing physiological apoptosis .
","Sustaining proliferative signaling--,Resisting cell death--Apoptosis"
9781,"Neurofibromatosis type 2 patients develop schwannomas , meningiomas and ependymomas resulting from mutations in the tumor suppressor gene , NF2 , encoding a membrane-cytoskeleton adapter protein called merlin .
",
9782,"Merlin regulates contact inhibition of growth and controls the availability of growth factor receptors at the cell surface .
",
9783,"We tested if microtubule-based vesicular trafficking might be a mechanism by which merlin acts .
",
9784,"We found that schwannoma cells , containing merlin mutations and constitutive activation of the Rho/Rac family of GTPases , had decreased intracellular vesicular trafficking relative to normal human Schwann cells .
",Genomic instability and mutation--Mutation
9785,"In Nf2-/- mouse Schwann ( SC4 ) cells , re-expression of merlin as well as inhibition of Rac or its effector kinases , MLK and p38(SAPK) , each increased the velocity of Rab6 positive exocytic vesicles .
",
9786,"Conversely , an activated Rac mutant decreased Rab6 vesicle velocity .
",
9787,"Vesicle motility assays in isolated squid axoplasm further demonstrated that both mutant merlin and active Rac specifically reduce anterograde microtubule-based transport of vesicles dependent upon the activity of p38(SAPK) kinase .
",
9788,"Taken together , our data suggest loss of merlin results in the Rac-dependent decrease of anterograde trafficking of exocytic vesicles , representing a possible mechanism controlling the concentration of growth factor receptors at the cell surface .
",Sustaining proliferative signaling--Receptors
9789,"Bladder cancer is one of the most common tumors of the genitourinary tract ; however , the molecular events underlying growth and invasion of the tumor remain unclear .
",
9790,"Here , role of the CXCR7 receptor in bladder cancer was further explored .
",
9791,"CXCR7 protein expression was examined using high-density tissue microarrays .
",
9792,"Expression of CXCR7 showed strong epithelial staining that correlated with bladder cancer progression .
",
9793,"In vitro and in vivo studies in bladder cancer cell lines suggested that alterations in CXCR7 expression were associated with the activities of proliferation , apoptosis , migration , invasion , angiogenesis and tumor growth .
","Sustaining proliferative signaling--,Resisting cell death--Apoptosis,Activating invasion and metastasis--Invasion,Inducing angiogenesis--By deregulating angiogenesis"
9794,"Moreover , CXCR7 expression was able to regulate expression of the proangiogenic factors IL-8 or VEGF , which may involve in the regulation of tumor angiogenesis .
",Inducing angiogenesis--By deregulating angiogenesis--Angiogenic factors
9795,"Finally , we found that signaling by the CXCR7 in bladder cancer cells activates AKT , ERK and STAT3 pathways .
",Sustaining proliferative signaling--Growth factors growth promoting signals--Downstream signaling
9796,"The AKT and ERK pathways may reciprocally regulate , which are responsible for in vitro and in vivo epithelial to mesenchymal transition ( EMT ) process of bladder cancer .
","Activating invasion and metastasis--Invasion,Sustaining proliferative signaling--Growth factors growth promoting signals--Downstream signaling"
9797,"Simultaneously targeting the two pathways by using U0126 and LY294002 inhibitors or using CCX733 , a selective CXCR7 antagonist drastically reduced CXCR7-induced EMT process .
",
9798,"Taken together , our data show for the first time that CXCR7 plays a role in the development of bladder cancer .
",
9799,"Targeting CXCR7 or its downstream-activated AKT and ERK pathways may prove beneficial to prevent metastasis and provide a more effective therapeutic strategy for bladder cancer .
",
9800,"Sustained release of copper ( Cu ) ions from Cu-containing intrauterine devices ( CuIUD ) is quite efficient for contraception .
",
9801,"However , the tissue surrounding the CuIUD is exposed to toxic Cu ion levels .
",
9802,"The objective for this study was to quantify the concentration dependent cytotoxic effects of Cu ions and correlate the toxicity due to Cu ion burst release for two popular T-shaped IUDs - TCu380A and TCu220C on L929 mouse fibroblasts .
",
9803,"Fibroblasts were cultured in 98 well tissue culture plates and 3-(4,5-dimethylthiazol- 2-yl)-2,5-diphehyltetrazolium bromide ( MTT ) assay was used to determine their viability and proliferation as a function of time .
",
9804,"For cell seeding numbers ranging from 10,000 to 100,000 , a maximum culture time of 48 h was identified for fibroblasts without significant reduction in cell proliferation due to contact inhibition .
",
9805,"Thus , for Cu cytotoxicity assays , a cell seeding density of 50,000 and a maximum culture time of 48 h in 96 well plates were used. 24 h after cell seeding , culture media were replaced with Cu ion containing media solutions of different concentrations , including 24 and 72 h extracts from TCuIUDs and incubated for a further 24 h .
",
9806,"Cell viability decreased with increasing Cu ion concentration , with 30 % and 100 % reduction for 40 \u03bcg/ml and 100 \u03bcg/ml respectively at 24 h .
",
9807,"The cytotoxic effects were further evaluated using light microscopy , apoptosis and cell cycle analysis assays .
",
9808,"Fibroblasts became rounded and eventually detached from TCP surface due to Cu ion toxicity .
",
9809,"A linear increase in apoptotic cell population with increasing Cu ion concentration was observed in the tested range of 0 to 50 \u03bcg/ml .
",
9810,"Cell cycle analysis indicated the arrest of cell division for the tested 25 to 50 \u03bcg/ml Cu ion treatments .
",
9811,"Among the TCuIUDs , TCu220C having 265 mm(2) Cu surface area released 9.08 ± 0.16 and 26.02 ± 0.25 \u03bcg/ml , while TCu380A having 400 mm(2) released 96.7 ± 0.11 and 159.3 ± 0.15 \u03bcg/ml respectively following 24 and 72 h extractions .
",
9812,"The effects of TCuIUD extracts on viability , morphology , apoptosis and cell cycle assay on L929 mouse fibroblasts cells , were appropriate for their respective Cu ion concentrations .
",
9813,"Thus , a concentration of about 46 \u03bcg/ml ( \u03bcM ) was identified as the LD50 dose for L929 mouse fibroblasts when exposed for 24 h based on our MTT cell viability assay .
",
9814,"The burst release of lethal concentration of Cu ions from TCu380A , especially at the implant site , is a cause of concern , and it is advisable to use TCuIUD designs that release Cu ions within cytotoxic limits yet therapeutic , similar to TCu220C .
",
9815,"Cytochrome P450 2A6 ( CYP2A6 ) is known to metabolize nicotine , the major constituent of tobacco , leading to the production of toxic metabolites and induction of oxidative stress that result in liver damage and lung cancer .
",
9816,"Recently , we have shown that CYP2A6 is induced by ethanol and metabolizes nicotine into cotinine and other metabolites leading to generation of reactive oxygen species ( ROS ) in U937 monocytes .
",
9817,"However , the mechanism by which CYP2A6 is induced by ethanol is unknown .
",
9818,"In this study , we have examined the role of the PKC/Nrf2 pathway ( protein kinase C-mediated phosphorylation and translocation of nuclear erythroid 2-related factor 2 to the nucleus ) in ethanol-mediated CYP2A6 induction .
",
9819,"Our results showed that 100 mM ethanol significantly induced CYP2A6 mRNA and protein ( and increased ROS formation , and induction of gene expression and ROS were both completely blocked by treatment with either a CYP2E1 inhibitor ( diallyl sulfide ) or an antioxidant ( vitamin C ) .
",
9820,"The results suggest the role of oxidative stress in the regulation of CYP2A6 expression .
",
9821,"Subsequently , we investigated the role of Nrf2 pathway in oxidative stress-mediated regulation of CYP2A6 expression in U937 monocytes .
",
9822,"Our results showed that butylated hydroxyanisole , a stabilizer of nuclear Nrf2 , increased CYP2A6 levels >200% .
",
9823,"Staurosporine , an inhibitor of PKC , completely abolished ethanol-induced CYP2A6 expression .
",
9824,"Furthermore , our results showed that a specific inhibitor of mitogen-activated protein kinase kinase ( MEK ) ( U0126 ) completely abolished ethanol-mediated CYP2A6 induction and Nrf2 translocation .
",
9825,"Overall , these results suggest that CYP2E1-mediated oxidative stress produced as a result of ethanol metabolism translocates Nrf2 into the nucleus through PKC/MEK pathway , resulting in the induction of CYP2A6 in monocytes .
",
9826,"An increased level of CYP2A6 in monocytes is expected to further increase oxidative stress in smokers through CYP2A6-mediated nicotine metabolism .
",
9827,"Thus , this study has clinical relevance because of the high incidence of alcohol use among smokers , especially in HIV-infected individuals .
",
9828,"BACKGROUND Recent data indicate the Signal Transducer and Activator of Transcription 3 ( STAT3 ) pathway is required for VEGF production and angiogenesis in various types of cancers .
",
9829,"STAT3 inhibitors have been shown to reduce tumor microvessel density in tumors but a direct anti-angiogenic activity has not been described .
",
9830,"METHODOLOGY/PRINCIPAL FINDINGS We investigated the direct action of a small molecule inhibitor of STAT3 ( LLL12 ) in human umbilical cord vascular endothelial cells ( HUVECs ) in vitro , in a Matrigel model for angiogenesis in vivo , and its antitumor activity in a xenograft model of osteosarcoma .
",
9831,"LLL12 ( 100 nM ) significantly inhibited VEGF-stimulated STAT3 phosphorylation in HUVECs , reduced their proliferation/migration and inhibited VEGF-induced tube formation .
","Inducing angiogenesis--By deregulating angiogenesis--Angiogenic factors,Activating invasion and metastasis--Invasion"
9832,"Morphologic analysis of LLL12 treated HUVECs demonstrated marked changes in actin/tubulin distribution and bundling .
",
9833,"In scid mice , LLL12 reduced microvessel invasion into VEGF-infused Matrigel plugs by ∼90% at a dose of 5 mg/kg daily .
","Inducing angiogenesis--By deregulating angiogenesis--Angiogenic factors,Activating invasion and metastasis--Invasion"
9834,"Following a period of tumor progression ( 2 weeks ) , LLL12 completely suppressed further growth of established OS-1 osteosarcoma xenografts .
",
9835,"Pharmacodynamic studies showed robust phosphorylated STAT3 in control tumors , whereas phospho-STAT3 was not detected in LLL12-treated OS-1 tumors .
",
9836,"Treated tumors demonstrated decreased proliferation ( Ki67 staining ) , and decreased microvessel density ( CD34 staining ) , but no significant increase in apoptosis ( TUNEL staining ) , relative to controls .
","Resisting cell death--Apoptosis,Inducing angiogenesis--By deregulating angiogenesis"
9837,"Assay of angiogenic factors , using an antibody array , showed VEGF , MMP-9 , Angiopoietin1/2 , Tissue Factor and FGF-1 expression were dramatically reduced in LLL12-treated tumors compared to control tumors .
",Inducing angiogenesis--By deregulating angiogenesis--Angiogenic factors
9838,"CONCLUSIONS These findings provide the first evidence that LLL12 effectively inhibits tumor angiogenesis both in vitro and in vivo .
",Inducing angiogenesis--By deregulating angiogenesis
9839,"BACKGROUND Tissue factor ( TF ) , an initiator of blood coagulation , participates in cancer progression and metastasis .
",
9840,"We recently found that inhibition of MAPK/ERK upregulated both full length TF ( flTF ) and soluble isoform TF ( asTF ) gene expression and cell-associated TF activity in breast cancer MDA-MB-231 cells .
",
9841,"We explored the possible mechanisms , especially the possible interaction with EGFR and PI3K/Akt pathways .
",
9842,"METHODS A plasmid containing TF promoter -2174  plus luciferase reporter gene was introduced into MDA-MB-231 cells to evaluate TF promoter activity .
",
9843,"In order to study the interaction of these pathways , ERK inhibitor ( PD98059 ) , PI3K inhibitors ( LY294002 , wortmannin ) , Akt inhibitor ( A6730 ) , and EGFR inhibitor ( erlotinib ) as well as the corresponding siRNAs were used to treat MDA-MB-231 cells , and ovarian cancer OVCAR-3 and SKOV-3 cells .
",
9844,"Quantitative PCR and western blot were used to determine TF expression .
",
9845,"One stage clotting assays were used to measure pro-coagulation activity of the MDA-MB-231 cells .
",
9846,"RESULTS We show that PI3K inhibitors LY294002 , wortmannin and A6730 significantly inhibited TF promoter activity , and reduced TF mRNA and protein levels due to the inhibition of Akt phosphorylation .
",
9847,"In contrast , ERK inhibitor PD98059 and ERK siRNA enhanced TF promoter activity by 2.5 fold and induced an increase in TF mRNA and protein levels in a dose dependent manner in these cells .
",
9848,"The PI3K/Akt pathway was shown to be involved in PD98059-induced TF expression because the induction was inhibited by PI3K/Akt inhibitors .
",Sustaining proliferative signaling--Growth factors growth promoting signals--Downstream signaling
9849,"Most interestingly , the EGFR inhibitor erlotinib and EGFR siRNA also significantly suppressed PD98059- or ERK siRNA-induced TF promoter activity and TF protein expression .
",Sustaining proliferative signaling--Receptors
9850,"Similar results were found with ovarian cancer cells SKOV-3 and OVCAR-3 .
",
9851,"Furthermore , in MDA-MB-231 , mRNA levels of asTF were regulated in a similar way to that of TF in response to the cell treatment .
",
9852,"CONCLUSIONS This study showed a regulatory mechanism in which MAPK/ERK signals inhibit EGFR/PI3K/Akt-mediated TF expression in breast cancer MDA-MB-231 cells .
",
9853,"The same regulation was observed in ovarian cancer OVCAR-3 and SKOV-3 cells .
",
9854,"Interestingly , we observed that both flTF and asTF could be regulated in a parallel manner in MDA-MB-231 .
",
9855,"As the PI3K/Akt pathway and EGFR regulate TF expression in cancer cells , targeting these signaling components is expected to potentially inhibit TF expression-associated tumor progression .
",
9856,"BACKGROUND The isothiocyanate sulforaphane ( SFN ) possesses interesting anticancer activities .
",
9857,"However , recent studies reported that SFN promotes the formation of reactive oxygen species ( ROS ) as well as DNA breakage .
",
9858,"METHODOLOGY/PRINCIPAL FINDINGS We investigated whether SFN is able to damage RNA , whose loss of integrity was demonstrated in different chronic diseases .
",
9859,"Considering the ability of SFN to protect from genotoxicity , we also examined whether SFN is able to protect from RNA damage induced by different chemicals ( doxorubicin , spermine , S-nitroso-N-acetylpenicillamine , H(2)O(2) ) .
",
9860,"We observed that SFN was devoid of either RNA damaging and RNA protective activity in human leukemic cells .
",Genomic instability and mutation--DNA damage--
9861,"It was able to potentiate the RNA damage by doxorubicin and spermine .
",
9862,"In the first case , the effect was attributable to its ability of modulating the bioreductive activation of doxorubicin .
",
9863,"For spermine , the effects were mainly due to its modulation of ROS levels produced by spermine metabolism .
",
9864,"As to the cytotoxic relevance of the RNA damage , we found that the treatment of cells with a mixture of spermine or doxorubicin plus SFN increased their proapoptotic potential .
","Resisting cell death--Apoptosis,Genomic instability and mutation--DNA damage--"
9865,"Thus it is conceivable that the presence of RNA damage might concur to the overall toxic response induced by a chemical agent in targeted cells .
",
9866,"CONCLUSIONS/SIGNIFICANCE Since RNA is emerging as a potential target for anticancer drugs , its ability to enhance spermine- and doxorubicin-induced RNA damage and cytotoxicity could represent an additional mechanism for the potentiating effects of SFN associated with anticancer drugs .
",
9867,"AIM We studied expression of molecules of the vascular endothelial growth factor ( VEGF ) pathway and its relation to vascularization , cell proliferation and patient outcome in recurring non-anaplastic meningioma .
",
9868,"We studied 29 tumor specimens of 8 patients with recurring meningiomas and of 8 age- and gender-matched control patients with non-recurring meningiomas ( including meningothelial , transitional , fibroblastic and atypical subtypes ) using immunohistochemistry and in-situ hybridization .
",
